hour,de_demand
1,45486
2,43588
3,41811
4,40757
5,39988
6,39052
7,37302
8,37586
9,38240
10,40649
11,42894
12,45335
13,46286
14,45686
15,45312
16,45866
17,48899
18,53773
19,54668
20,53750
21,51276
22,49765
23,49157
24,45914
25,42526
26,40282
27,39623
28,39811
29,41111
30,43647
31,48770
32,54751
33,58714
34,61170
35,62828
36,64359
37,64611
38,63856
39,62748
40,61949
41,63371
42,66788
43,66641
44,64675
45,60728
46,57857
47,55726
48,51517
49,47568
50,45160
51,44392
52,44790
53,45856
54,48075
55,52214
56,57632
57,60834
58,62500
59,63736
60,65227
61,65331
62,63621
63,62233
64,61768
65,63372
66,66851
67,66745
68,64400
69,60535
70,57791
71,56150
72,52401
73,48162
74,45860
75,44570
76,44450
77,44816
78,44810
79,45266
80,48147
81,51522
82,55130
83,57453
84,59022
85,58857
86,57597
87,56415
88,56430
89,58724
90,62204
91,62410
92,60109
93,56121
94,53635
95,52600
96,49266
97,45615
98,42883
99,41518
100,41197
101,41429
102,41145
103,40357
104,42035
105,44757
106,48287
107,51415
108,54277
109,54325
110,52666
111,51048
112,50721
113,52782
114,57484
115,58970
116,57640
117,54888
118,53247
119,53082
120,49625
121,46638
122,44887
123,44168
124,44440
125,45634
126,48087
127,53115
128,58809
129,61610
130,62994
131,64752
132,66065
133,66158
134,65108
135,64078
136,63531
137,65057
138,68861
139,68984
140,67189
141,63404
142,60439
143,57997
144,53333
145,49502
146,47506
147,46648
148,47160
149,48818
150,52602
151,60868
152,68674
153,71033
154,70601
155,71044
156,71925
157,71439
158,70774
159,69483
160,69050
161,70110
162,74300
163,74355
164,72381
165,68099
166,64209
167,60837
168,55626
169,51708
170,49274
171,48234
172,48974
173,50471
174,54080
175,62580
176,70022
177,72222
178,71508
179,72068
180,73129
181,72320
182,71738
183,70481
184,69646
185,70736
186,74560
187,74363
188,72237
189,67798
190,64419
191,61166
192,56180
193,52192
194,49962
195,49093
196,49642
197,51294
198,54892
199,63338
200,70670
201,73079
202,72215
203,73157
204,74156
205,73370
206,72936
207,72074
208,71577
209,72686
210,75718
211,75158
212,72842
213,68389
214,65092
215,61741
216,56480
217,52633
218,50602
219,49787
220,50301
221,52166
222,55506
223,63242
224,70746
225,72931
226,71930
227,72319
228,73152
229,72808
230,71374
231,69765
232,68855
233,69803
234,73559
235,73052
236,70842
237,66392
238,63011
239,60856
240,56475
241,52939
242,50609
243,49342
244,49360
245,49297
246,48927
247,49398
248,53005
249,56583
250,59598
251,61868
252,63004
253,62215
254,60621
255,59346
256,58961
257,60273
258,64087
259,64271
260,62078
261,57994
262,55678
263,54599
264,51212
265,48113
266,45903
267,44872
268,44667
269,44658
270,44200
271,43465
272,45261
273,47936
274,51009
275,53433
276,56188
277,56167
278,53814
279,52211
280,51769
281,53572
282,59513
283,61589
284,60340
285,57716
286,56139
287,56161
288,53028
289,50017
290,48109
291,47550
292,47932
293,49714
294,53790
295,63454
296,71474
297,74199
298,74146
299,74516
300,75674
301,75048
302,74543
303,73556
304,72916
305,73101
306,76150
307,75617
308,73484
309,68985
310,65437
311,62550
312,57323
313,53529
314,51384
