hour,nl_demand
1,11017
2,10763
3,10164
4,9615
5,9248
6,9236
7,9519
8,9827
9,10094
10,10421
11,11044
12,11572
13,11827
14,11789
15,11831
16,11870
17,12330
18,13629
19,13801
20,13624
21,13211
22,12563
23,11898
24,11069
25,10308
26,9710
27,9354
28,9249
29,9273
30,9713
31,10934
32,12629
33,14194
34,14957
35,15481
36,15799
37,15767
38,15654
39,15394
40,15283
41,15604
42,16766
43,16344
44,15834
45,15034
46,14037
47,13109
48,12179
49,11219
50,10422
51,10015
52,9848
53,9892
54,10267
55,11353
56,12979
57,14601
58,15370
59,15701
60,15852
61,15699
62,15681
63,15402
64,15204
65,15674
66,16713
67,16264
68,15687
69,14822
70,13875
71,12976
72,12040
73,11179
74,10444
75,9940
76,9680
77,9588
78,9727
79,10198
80,11046
81,12149
82,13190
83,13775
84,13964
85,13936
86,13789
87,13702
88,13548
89,14071
90,15130
91,14845
92,14378
93,13683
94,12875
95,12155
96,11348
97,10561
98,9921
99,9478
100,9275
101,9179
102,9281
103,9578
104,10079
105,10836
106,11507
107,12054
108,12311
109,12463
110,12424
111,12444
112,12507
113,12967
114,14555
115,14606
116,14329
117,13794
118,13015
119,12196
120,11104
121,10276
122,9789
123,9563
124,9503
125,9627
126,10158
127,11765
128,14156
129,15821
130,16226
131,16267
132,16361
133,16149
134,16129
135,15996
136,15960
137,16280
138,17193
139,16565
140,16065
141,15161
142,14245
143,13090
144,12053
145,11078
146,10435
147,10064
148,9935
149,9999
150,10491
151,12017
152,14542
153,16025
154,16316
155,16318
156,16280
157,16090
158,16198
159,16169
160,16167
161,16435
162,17333
163,16702
164,16102
165,15226
166,14343
167,13188
168,12152
169,11180
170,10491
171,10144
172,10056
173,10122
174,10589
175,12124
176,14603
177,16138
178,16326
179,16353
180,16448
181,16343
182,16422
183,16304
184,16229
185,16492
186,17567
187,16863
188,16217
189,15326
190,14462
191,13238
192,12230
193,11258
194,10596
195,10206
196,10085
197,10118
198,10590
199,12088
200,14535
201,16216
202,16602
203,16722
204,16848
205,16684
206,16681
207,16645
208,16627
209,16940
210,17594
211,17029
212,16435
213,15576
214,14510
215,13388
216,12324
217,11404
218,10764
219,10411
220,10272
221,10299
222,10747
223,12151
224,14648
225,16272
226,16631
227,16673
228,16600
229,16273
230,16200
231,16071
232,15929
233,16101
234,17165
235,16596
236,15852
237,14974
238,13997
239,12975
240,12137
241,11311
242,10539
243,10091
244,9845
245,9782
246,9892
247,10463
248,11461
249,12699
250,13778
251,14364
252,14671
253,14560
254,14208
255,13874
256,13535
257,13724
258,15031
259,14982
260,14518
261,13767
262,12972
263,12257
264,11489
265,10807
266,10172
267,9755
268,9581
269,9482
270,9536
271,9804
272,10364
273,11148
274,11867
275,12352
276,12562
277,12703
278,12601
279,12427
280,12427
281,12806
282,14491
283,14733
284,14448
285,13888
286,13140
287,12361
288,11318
289,10544
290,10048
291,9808
292,9701
293,9807
294,10381
295,11983
296,14538
297,16135
298,16472
299,16431
300,16420
301,16200
302,16212
303,16088
304,16003
305,16183
306,17271
307,16857
308,16331
309,15427
310,14489
311,13361
312,12290
313,11296
314,10633
315,10265
316,10189
317,10294
318,10712
319,12237
320,14642
321,16162
322,16574
323,16708
324,16781
325,16588
326,16610
327,16498
328,16431
329,16667
330,17518
331,16861
332,16284
333,15407
334,14475
335,13330
336,12272
337,11282
338,10661
339,10334
340,10254
341,10302
342,10767
343,12309
344,14785
345,16212
346,16657
347,16787
348,16883
349,16792
350,16896
351,16899
352,16847
353,17064
354,17752
355,16940
356,16349
357,15487
358,14536
359,13324
360,12240
361,11201
362,10517
363,10188
364,10119
365,10158
366,10628
367,12153
368,14638
369,16215
370,16565
371,16654
372,16706
373,16540
374,16606
375,16588
376,16585
377,16752
378,17366
379,16970
380,16378
381,15565
382,14461
383,13273
384,12245
385,11301
386,10620
387,10272
388,10122
389,10187
390,10645
391,12182
392,14609
393,16206
394,16679
395,16760
396,16744
397,16437
398,16424
399,16313
400,16121
401,16297
402,17119
403,16648
404,15945
405,15061
406,13997
407,12980
408,12126
409,11272
410,10496
411,9988
412,9810
413,9746
414,9860
415,10404
416,11383
417,12581
418,13558
419,14043
420,14119
421,13883
422,13681
423,13480
424,13278
425,13427
426,14693
427,14792
428,14375
429,13617
430,12822
431,12237
432,11433
433,10749
434,10071
435,9660
436,9429
437,9284
438,9399
439,9808
440,10354
441,11174
442,11872
443,12442
444,12803
445,13091
446,13052
447,12916
448,12763
449,13016
450,14353
451,14647
452,14369
453,13792
454,13029
455,12313
456,11360
457,10608
458,10129
459,9910
460,9890
461,10015
462,10535
463,12071
464,14636
465,16262
466,16643
467,16843
468,17093
469,16993
470,17107
471,16979
472,16898
473,17140
474,17839
475,17126
476,16601
477,15660
478,14736
479,13482
480,12408
481,11470
482,10836
483,10590
484,10457
485,10526
486,10957
487,12502
488,15004
489,16513
490,16978
491,17094
492,17107
493,16901
494,16911
495,16831
496,16818
497,16912
498,17580
499,17121
500,16556
501,15680
502,14758
503,13574
504,12543
505,11611
506,10967
507,10610
508,10481
509,10484
510,10976
511,12418
512,14992
513,16566
514,17028
515,17140
516,17090
517,16760
518,16708
519,16572
520,16548
521,16613
522,17512
523,17129
524,16601
525,15682
526,14682
527,13494
528,12537
529,11562
530,10887
531,10499
532,10448
533,10512
534,10988
535,12527
536,14983
537,16606
538,17011
539,17134
540,17229
541,17129
542,17152
543,16998
544,16906
545,17129
546,17779
547,17457
548,16948
549,16080
550,14922
551,13691
552,12663
553,11703
554,11083
555,10692
556,10592
557,10654
558,11092
559,12512
560,14994
561,16558
562,17004
563,17096
564,17073
565,16743
566,16658
567,16531
568,16417
569,16480
570,17247
571,16848
572,16102
573,15209
574,14228
575,13219
576,12391
577,11583
578,10874
579,10353
580,10134
581,10088
582,10231
583,10776
584,11782
585,12916
586,13989
587,14500
588,14673
589,14555
590,14316
591,14113
592,14000
593,14158
594,15204
595,15270
596,14731
597,14061
598,13311
599,12665
600,11843
601,11108
602,10443
603,10009
604,9803
605,9740
606,9794
607,10021
608,10578
609,11282
610,12047
611,12565
612,12965
613,13272
614,13284
615,13197
616,13151
617,13443
618,14796
619,15064
620,14801
621,14193
622,13430
623,12590
624,11470
625,10708
626,10226
627,10027
628,10016
629,10136
630,10672
631,12307
632,14884
633,16204
634,16571
635,16639
636,16706
637,16545
638,16835
639,16837
640,16788
641,16864
642,17631
643,17173
644,16580
645,15604
646,14589
647,13474
648,12379
649,11433
650,10827
651,10521
652,10389
653,10445
654,10954
655,12485
656,15003
657,16331
658,16711
659,16778
660,16788
661,16464
662,16433
663,16427
664,16360
665,16428
666,17173
667,16926
668,16378
669,15499
670,14602
671,13408
672,12237
673,11355
674,10726
675,10476
676,10392
677,10418
678,10893
679,12424
680,15035
681,16440
682,16942
683,17042
684,17003
685,16818
686,16837
687,16783
688,16697
689,16799
690,17543
691,17270
692,16765
693,15872
694,14837
