Name,Technology,Location,Age,Owner,Capacity,Efficiency,ExpectedEndOfLife
Lignite DE 1,Lignite,deNode1,42,Energy Producer D,7523.6,0.37568,6
Lignite DE 2,Lignite,deNode1,42,Energy Producer E,7523.6,0.37568,11
Lignite DE 3,Lignite,deNode1,42,Energy Producer F,3972.417,0.37568,16
Nuclear DE 1,Nuclear,deNode1,29,Energy Producer D,5675.5,0.33,4
Nuclear DE 2,Nuclear,deNode1,26,Energy Producer E,5675.5,0.33,8
Amercentrale,CoalPSC,nlNode1,27,Energy Producer C,643,0.4,11
Centrale Maasvlakte 1,CoalPSC,nlNode1,44,Energy Producer A,555,0.4,6
Centrale Maasvlakte 2,CoalPSC,nlNode1,45,Energy Producer A,555,0.4,8
Centrale Maasvlakte 3,CoalPSC,nlNode1,3,Energy Producer A,1068,0.49,12
MVL380 Centrale Rotterdam,CoalPSC,nlNode1,4,Energy Producer B,736,0.49,11
Boreselle 30 DeltaEnergy,Nuclear,nlNode1,41,Energy Producer C,512,0.33,19
