,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063
demandDE-0,1,0.999062497,1.017367821,1.028193198,1.033889673,1.045457035,1.064475174,1.06226759,1.083664823,1.090331145,1.113481102,1.115572281,1.127322607,1.155092209,1.170087646,1.170459176,1.176955536,1.192381624,1.216655417,1.225466135,1.22637971,1.233406298,1.235051748,1.237981266,1.263671209,1.279078528,1.281887617,1.310158518,1.334765682,1.353591374,1.350427708,1.368737873,1.382194846,1.383583017,1.39342891,1.405131001,1.427013146,1.437057232,1.455125108,1.461989499,1.499595627,1.506672987,1.513501218,1.534860802,1.545949275,1.567527867,1.565675865,1.579898729,1.593116612,1.614275742
demandDE-1,1,0.999062497,1.017367821,1.028193198,1.033889673,1.045457035,1.064475174,1.06226759,1.083664823,1.090331145,1.113481102,1.115572281,1.127322607,1.155092209,1.170087646,1.170459176,1.176955536,1.192381624,1.216655417,1.225466135,1.22637971,1.233406298,1.235051748,1.237981266,1.263671209,1.279078528,1.281887617,1.310158518,1.334765682,1.353591374,1.350427708,1.368737873,1.382194846,1.383583017,1.39342891,1.405131001,1.427013146,1.437057232,1.455125108,1.461989499,1.499595627,1.506672987,1.513501218,1.534860802,1.545949275,1.567527867,1.565675865,1.579898729,1.593116612,1.614275742
demandDE-2,1,1.006126624,1.026558986,1.020989171,1.024140971,1.028858619,1.038313215,1.064372539,1.078033386,1.087613797,1.106761489,1.125738485,1.138987734,1.16326513,1.180301781,1.191427776,1.195066062,1.197899354,1.223225391,1.232782275,1.258428823,1.266148259,1.280122209,1.293249706,1.302399789,1.3115359,1.336450858,1.349937191,1.337433851,1.36398371,1.372650727,1.383718993,1.377773696,1.379944935,1.402768169,1.400577014,1.407167341,1.422135736,1.448218181,1.469517504,1.477697962,1.504525171,1.517193984,1.530105756,1.537502055,1.555365269,1.569959383,1.567280589,1.586006816,1.596378715
demandDE-3,1,1.000026024,0.998012895,1.005852654,0.999531123,1.023685574,1.02017469,1.024191825,1.036771943,1.050401802,1.041308016,1.064483031,1.073661119,1.080543679,1.101003042,1.119814818,1.134521346,1.154229834,1.175903204,1.174162091,1.174065205,1.191949709,1.204870404,1.199707306,1.199229151,1.219688643,1.233121201,1.257260469,1.262187902,1.280207501,1.289827988,1.305493138,1.32643384,1.348385024,1.367220132,1.359145839,1.348174662,1.35898082,1.37363006,1.38060784,1.39713187,1.415961767,1.426427869,1.444285709,1.456440122,1.464937885,1.491775782,1.514320877,1.515318183,1.528876659
demandDE-4,1,1.010873749,1.028612332,1.055263485,1.054310539,1.070576971,1.07252146,1.079534621,1.089762851,1.104991136,1.109682449,1.122936601,1.149452657,1.174118684,1.169894512,1.188149187,1.206894924,1.225078231,1.23794012,1.261489809,1.280575631,1.292200888,1.30899585,1.314948924,1.338908364,1.363454617,1.375115616,1.401519265,1.401812055,1.395385834,1.426721403,1.43005142,1.441112776,1.467715024,1.479456953,1.483349785,1.515517665,1.529608755,1.565007038,1.593061207,1.604402164,1.61363411,1.631662983,1.642697151,1.679609977,1.689310791,1.692109533,1.685250276,1.705253723,1.69725797
demandDE-5,1,1.002844357,1.013970811,1.025335806,1.032329867,1.029220542,1.049674899,1.058394288,1.068717011,1.080899948,1.096472796,1.111198087,1.122289286,1.142862321,1.13637377,1.167029705,1.185288844,1.204674538,1.222523376,1.234395485,1.255775269,1.27476368,1.284893477,1.289518844,1.309901639,1.335179282,1.371926279,1.367348548,1.362248289,1.390423559,1.403100269,1.411510179,1.433783342,1.428268975,1.45559276,1.461384666,1.485787172,1.507611431,1.511082051,1.524059934,1.521646832,1.557324135,1.596034464,1.599986059,1.597712272,1.618991374,1.625881991,1.624989023,1.638189645,1.653943069
demandDE-6,1,1.005858863,1.030076784,1.037204737,1.054853357,1.071403516,1.09242225,1.112151284,1.125449161,1.133126093,1.131175292,1.143845793,1.136832395,1.150274384,1.159041258,1.178682941,1.172620893,1.17941351,1.190044729,1.215672028,1.211198694,1.243853593,1.239281572,1.248095337,1.26213263,1.286114227,1.309030757,1.326741279,1.361340201,1.377177034,1.375548821,1.386835339,1.413141359,1.432881845,1.455968103,1.478539764,1.496352427,1.531028215,1.530823815,1.535591991,1.537132708,1.554124881,1.558815832,1.557801687,1.562895598,1.580616453,1.609449117,1.63916246,1.632275756,1.636827394
demandDE-7,1,1.004363363,1.016508654,1.041523539,1.057319362,1.053738104,1.052796965,1.062806544,1.088718852,1.089056991,1.117945403,1.135964665,1.146828859,1.154877498,1.162797037,1.186091987,1.195581455,1.195954242,1.19601141,1.202318451,1.207347904,1.213225628,1.226339605,1.227461584,1.240094399,1.255854313,1.263279212,1.265883436,1.263146459,1.276386118,1.299153109,1.31204111,1.33578827,1.342550598,1.368870025,1.370717339,1.382637964,1.373511904,1.379733845,1.390489448,1.419481313,1.422688015,1.441974517,1.444193571,1.463589461,1.48441101,1.501952301,1.527162468,1.547271528,1.551877562
demandDE-8,1,1.02315085,1.039048917,1.052314096,1.058920307,1.068809944,1.087244714,1.090725177,1.08772053,1.106995404,1.133234873,1.161573913,1.182709717,1.181315791,1.198102257,1.193122307,1.206124399,1.218664281,1.234002961,1.260731807,1.26725902,1.294887649,1.302300184,1.329878798,1.348819194,1.365247022,1.370538399,1.369445006,1.402761398,1.419616226,1.432182643,1.456279182,1.47435094,1.509571968,1.521041142,1.535535376,1.558594864,1.560422627,1.573490432,1.589534352,1.60138175,1.603832044,1.610560403,1.624186368,1.637468293,1.63595361,1.675867477,1.686688871,1.7183026,1.748254084
demandDE-9,1,1.007651958,1.030375432,1.036847137,1.031059255,1.035617744,1.041544536,1.059779793,1.069804041,1.090093399,1.095507602,1.116304577,1.128636548,1.133827812,1.147596458,1.162708329,1.185695706,1.195603682,1.21491267,1.226393704,1.254660555,1.261751262,1.276055687,1.296593286,1.323554132,1.347035759,1.384821063,1.396795756,1.416865539,1.426445245,1.445087146,1.459099147,1.448535477,1.462444876,1.465121446,1.482160723,1.482098991,1.479299459,1.512797398,1.535066481,1.560480516,1.571073955,1.579603103,1.588969631,1.617234624,1.630853463,1.675424776,1.705365948,1.720506351,1.722593099
