,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063
demandNL-0,1,1.015772576,1.030923062,1.033583786,1.049336495,1.057404108,1.070995213,1.077559792,1.100238869,1.121771509,1.138404067,1.153573415,1.163572573,1.173448211,1.183275567,1.196894497,1.191753308,1.203607062,1.218541183,1.232253098,1.258652209,1.269261641,1.29651656,1.326156954,1.361882071,1.369566247,1.390552028,1.427660878,1.458640906,1.481048321,1.497729798,1.518769135,1.540485659,1.542693286,1.558218315,1.565460438,1.566680248,1.600615218,1.6023205,1.590742751,1.586962091,1.612951942,1.653208221,1.674134677,1.711151798,1.737231832,1.749697937,1.781403412,1.784242664,1.794329647
demandNL-1,1,1.015772576,1.030923062,1.033583786,1.049336495,1.057404108,1.070995213,1.077559792,1.100238869,1.121771509,1.138404067,1.153573415,1.163572573,1.173448211,1.183275567,1.196894497,1.191753308,1.203607062,1.218541183,1.232253098,1.258652209,1.269261641,1.29651656,1.326156954,1.361882071,1.369566247,1.390552028,1.427660878,1.458640906,1.481048321,1.497729798,1.518769135,1.540485659,1.542693286,1.558218315,1.565460438,1.566680248,1.600615218,1.6023205,1.590742751,1.586962091,1.612951942,1.653208221,1.674134677,1.711151798,1.737231832,1.749697937,1.781403412,1.784242664,1.794329647
demandNL-2,1,1.013314898,1.013616392,1.027503207,1.03269522,1.045536107,1.051813977,1.064475298,1.076405954,1.083446464,1.099531389,1.094733812,1.0988052,1.109961336,1.120371422,1.1451439,1.152303476,1.168966394,1.171203485,1.194647546,1.193933003,1.223694109,1.220319672,1.218880313,1.221688101,1.21746309,1.232037754,1.247748874,1.239548583,1.266424246,1.28169272,1.304736532,1.336170786,1.332456064,1.336549417,1.332317344,1.326882848,1.339068901,1.353504565,1.366867607,1.366903028,1.369826328,1.382820995,1.388763873,1.400150833,1.428207848,1.435897353,1.467688679,1.503496594,1.531065622
demandNL-3,1,1.010776406,1.031978655,1.057944433,1.065090772,1.060930072,1.067476561,1.072762851,1.081030432,1.093119196,1.102465537,1.09830009,1.110098346,1.139217793,1.163504448,1.170244208,1.201179521,1.210222733,1.213709589,1.230129501,1.234764948,1.230142354,1.239476753,1.228380578,1.232530851,1.256298525,1.275831777,1.294098252,1.288497913,1.293406743,1.326608106,1.333651024,1.365360324,1.378849155,1.407770254,1.420003592,1.44384813,1.461993609,1.48287166,1.51766782,1.534622954,1.567740902,1.568788218,1.569695538,1.579646569,1.610987384,1.634887177,1.655443441,1.652338607,1.688072205
demandNL-4,1,1.008219028,1.021749493,1.026798674,1.029452432,1.033194539,1.050645102,1.081459345,1.086387781,1.106521869,1.113616493,1.109224738,1.122258004,1.136317493,1.162677783,1.167085276,1.186793663,1.216019104,1.245450868,1.273461047,1.298982905,1.302696339,1.319149891,1.333796608,1.359165286,1.369050529,1.379141123,1.381704685,1.383196432,1.394453481,1.409635133,1.421751299,1.428524553,1.460736289,1.493764695,1.513868993,1.529429917,1.553096254,1.565921692,1.589712021,1.600226314,1.591184894,1.589079513,1.609728524,1.616293159,1.638196638,1.680614108,1.69700561,1.71457682,1.738528112
demandNL-5,1,1.012241232,1.032653455,1.050014093,1.047044403,1.065744857,1.086085416,1.101820642,1.121259858,1.136962536,1.163916954,1.183112895,1.186551541,1.198441084,1.214162606,1.218332048,1.233089194,1.248230635,1.249260546,1.273222375,1.294950355,1.290629214,1.30343617,1.310366882,1.344484266,1.36249719,1.361637146,1.372778244,1.376700186,1.390324378,1.410677034,1.422881268,1.435579117,1.448467369,1.440245452,1.442505461,1.435612887,1.450091285,1.474375271,1.470342174,1.486043855,1.48814838,1.512027827,1.531122265,1.542195969,1.540118813,1.568530017,1.58597912,1.614776815,1.634866428
demandNL-6,1,1.008999347,1.028166056,1.048846192,1.073648637,1.072572962,1.08511932,1.108322479,1.138703503,1.163220465,1.172823783,1.183520394,1.195628792,1.192839453,1.203757532,1.197626368,1.210998596,1.202858626,1.204054223,1.195220101,1.211670034,1.225479005,1.225045666,1.245461952,1.258860855,1.279956774,1.302124025,1.300628065,1.3221681,1.328561092,1.34707529,1.357161751,1.38627767,1.381456864,1.400721267,1.425697768,1.429566901,1.433364763,1.464936601,1.495079375,1.506287645,1.515530854,1.533629265,1.555764255,1.573091225,1.57028119,1.56468155,1.59394811,1.627345094,1.613641257
demandNL-7,1,1.006551352,1.01129778,1.027259919,1.031383422,1.032894786,1.043283192,1.06915614,1.090487245,1.109752097,1.132353464,1.132699544,1.132643568,1.146745966,1.166270717,1.164646702,1.163195405,1.185563485,1.204529606,1.227850641,1.240925154,1.253621621,1.2778194,1.2905578,1.306709059,1.326099261,1.32715313,1.328902816,1.346308652,1.355094741,1.353372027,1.38141529,1.389518975,1.386538975,1.393529304,1.402343626,1.416233305,1.41983776,1.443211592,1.460348249,1.46109495,1.472766607,1.472846645,1.502827765,1.519839826,1.526742202,1.538435804,1.567198632,1.58361174,1.585592681
demandNL-8,1,1.009409932,1.008879804,1.016483175,1.043091735,1.063348007,1.069277533,1.065013362,1.093282287,1.104134126,1.122155366,1.138793134,1.14780257,1.167491993,1.170758158,1.164280338,1.186318732,1.206244913,1.20563221,1.20197739,1.222787772,1.23590131,1.266535614,1.275687259,1.28167266,1.308735868,1.322225052,1.33668004,1.349397425,1.355539998,1.376109751,1.404546117,1.420917027,1.440642871,1.432347265,1.450797561,1.450460205,1.484133934,1.514149005,1.52213787,1.524177363,1.534187304,1.533015138,1.55119783,1.562014662,1.577361527,1.574036471,1.592994494,1.609141951,1.634783762
demandNL-9,1,1.007554236,1.024599247,1.033873689,1.053867885,1.066081198,1.080198344,1.110709685,1.115378813,1.124307426,1.145106665,1.174851417,1.206470131,1.210396511,1.219207385,1.22930818,1.251434322,1.270930863,1.272927773,1.291786712,1.293298558,1.315126423,1.332514066,1.340392944,1.36718537,1.384058962,1.403826871,1.415971842,1.427786148,1.443610089,1.473060098,1.492223859,1.522442993,1.516505806,1.547240285,1.57028246,1.580440685,1.588905104,1.61733647,1.657715379,1.670442223,1.696719128,1.712822978,1.757611535,1.793242503,1.801016125,1.849266467,1.846924993,1.851651332,1.863407135
