,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
gasPrice-1,4,4.11558174897873,4.27610785506603,4.34439030423047,4.41444992871854,4.54046845360046,4.63586324646525,4.76113905616088,4.84546918760749,4.91004075616145,5.04253922874993,5.15527272955785,5.31617286629585,5.36783255464298,5.43154668410672,5.50993164413588,5.68933064684694,5.74915549712285,5.80681362959082,6.01018929802839,6.13938060249635,6.19904273200248,6.27196939573993,6.47140483851618,6.56856344476068,6.65129170374954,6.72686143019677,6.90958756281788,7.12571566983575,7.3564613362666,7.613636983763,7.72027277783956,7.88346774829189,7.95912987016683,8.13529608040756,8.22254550265045,8.35017559980799,8.54372106675471,8.78302762902132,8.98990575458086,9.22629968867366,9.41803221521216,9.56991313226787,9.78408832605118,10.0541002456722,10.3558646418505,10.7227667997488,10.8015634499593,11.0181072937184,11.3066086671402
gasPrice-2,4,4.09549264525883,4.22048245286422,4.30207821543692,4.39968923897533,4.46308962982331,4.61040649835581,4.76546192922277,4.91141215587227,5.04201423060545,5.15870233140275,5.2612956942935,5.3328350312468,5.46931729033495,5.56097619343893,5.67897624368991,5.75584259423259,5.95058957453521,6.16181375257597,6.31608504424599,6.44451653827579,6.59697979569746,6.67407272509579,6.83501378410634,6.98844631441481,7.07451351677272,7.2728308013605,7.37297589032865,7.48886765235243,7.56898116320874,7.75917861697521,7.89788350568389,8.07011113564637,8.18428410281107,8.30959012024186,8.47222777980616,8.7542532553587,8.98315782918031,9.17248402686297,9.35902841670243,9.55380912849187,9.75528279958853,9.81980626956243,9.99548208602225,10.1294840721717,10.4011759181531,10.5703983212581,10.6266948302701,10.7755492195337,11.1499869828869
gasPrice-3,4,4.08656585368246,4.21937453399204,4.28592670056668,4.40170672459187,4.52875443925779,4.63501769273116,4.71753789463119,4.73035620241185,4.82884354079631,4.87573576955138,4.90970792248905,4.9285668098469,5.03991999012544,5.1638872232178,5.19455361740097,5.25289753306498,5.29280687458873,5.39846163409986,5.43348797984246,5.52644086983267,5.65425365928858,5.7697822255138,5.83273139521703,5.89758136360264,5.98067577169551,6.09732031497304,6.23000666217635,6.30896003619253,6.41766088590612,6.56582826602369,6.64344934569138,6.77926295109624,6.98084572058368,7.14912100866294,7.2427985433325,7.39015493925713,7.55730546593974,7.64652738375002,7.77604301615531,7.92861662431666,8.00884002909679,8.13720638528652,8.31964598629838,8.49066198117413,8.62360180025943,8.6914793909205,8.87386894254925,9.06104073284629,9.23297938408778
gasPrice-4,4,4.11840407861979,4.18505103083038,4.24251413161242,4.31572693962731,4.3357600120373,4.45661267263722,4.47884953313843,4.56248539778592,4.68313485215962,4.82380519942089,4.9121683892453,4.95425409105496,4.99473400598894,5.01706889955899,5.15427251251225,5.17959435963998,5.24356809088467,5.33187853260458,5.38563090065418,5.49025184080205,5.59620624316389,5.65944902702537,5.81314921294769,6.01444597272632,6.19273961500328,6.23804487745649,6.33925616183572,6.50951558446735,6.64073351197131,6.80708002952789,6.89912605919506,7.02992188241964,7.1897929854422,7.38082122667443,7.55743741789776,7.6406358979536,7.74853738057587,7.98984791290723,8.13733995165725,8.27529731977702,8.34862959128754,8.46997643288277,8.65437461216637,8.81006669443827,8.95343200453951,9.14254955881307,9.29229232898435,9.55298814289207,9.65243879163691
gasPrice-5,4,4.10318544463612,4.1864592918354,4.2811382297557,4.39506890203708,4.49847440115776,4.56993713435937,4.64829030277961,4.73360794938735,4.87482922545679,4.98663348957546,5.09434085213943,5.20333001267731,5.28567934150651,5.33339824815296,5.52513638014895,5.59991510621214,5.690207711632,5.79105786556967,6.00537564390209,6.14802813209141,6.26019689423486,6.40542120810028,6.49535494924829,6.63497856849441,6.72722724665565,6.94044636339869,7.05677674754127,7.16166153801388,7.36004387580385,7.47616949539189,7.61294285350847,7.69509313279368,7.84152936548321,8.00905543202314,8.09747410031224,8.17807515509262,8.38535839142307,8.53869728901017,8.78343914422672,8.99152712034314,9.17176348565448,9.38753129133349,9.58075311909123,9.69398443516878,9.903072930554,10.2204273453317,10.4237153667368,10.5504644130123,10.86040339146
gasPrice-6,4,4.00882783720509,4.13198496992925,4.19131038143727,4.29191328798062,4.40634292668276,4.48982783103186,4.58261725683195,4.60796163841561,4.71512309503013,4.74390498693668,4.88462481821854,4.95202234623276,5.04834149145498,5.19669195830455,5.38535499428069,5.53045367527676,5.63688053112602,5.82148733582499,5.86588053709522,5.97985130517149,6.07148646929785,6.1686321445859,6.26105545345245,6.34138919592628,6.51107983538965,6.64131425287708,6.78009163499296,6.83696813329061,6.98487862389857,7.03799620120965,7.18669743970159,7.3053718271716,7.39478731806713,7.52133228198849,7.6541471331907,7.80878053951761,7.95483548909803,7.98441946920136,8.23665439496743,8.51058663423661,8.64042981719316,8.69997305683858,8.97850027719381,9.27894738415843,9.46818408500391,9.81192128104143,10.0842373747176,10.1582826661558,10.29804399315
gasPrice-7,4,4.08634061520773,4.13612602529141,4.17710492343008,4.27168073744503,4.31176497890804,4.40020610896333,4.4921902574567,4.57371356287061,4.64002974542097,4.71777957485966,4.81452978424165,4.91286543044601,5.07273027287747,5.24873111359158,5.38056866932884,5.4470215936353,5.56733771928478,5.7202329758403,5.86614210263227,6.02001077695254,6.12029778193039,6.29745720891055,6.37656524791418,6.45434345857841,6.62756400354519,6.72345623530749,6.91221538079709,7.05780142317144,7.20441158035183,7.31641935114811,7.33227982217588,7.49508645425243,7.64921437090934,7.83808047571421,7.9313617011566,8.07767617078204,8.25951787742935,8.36033281342703,8.42541502327598,8.58227920570638,8.72096092532587,8.98279346640847,9.2008386342691,9.48453100401353,9.57253425768963,9.80498704956157,10.0209743469387,10.1870057768588,10.4270101456997
gasPrice-8,4,4.03713689695014,4.15006689635687,4.22655402434551,4.34797774207682,4.5010729694225,4.53519198218299,4.68175770802508,4.79598749722981,4.84924924035692,4.97128214814941,5.05413496953152,5.16496319134925,5.20735673690146,5.30602447455554,5.43721880613077,5.50882981773876,5.7081920104891,5.74025722272418,5.83684696338409,5.94022138964085,6.01097867446031,6.14941332842044,6.19192307352161,6.34389826203124,6.50005563887014,6.62279704014752,6.81931303290273,6.98532063768986,7.07599406848853,7.1728239006332,7.26189792323653,7.38795178761582,7.40141489092696,7.51042838218828,7.65771563146285,7.89005535981641,8.06499758251805,8.36660227092007,8.59461350901474,8.71156693445042,8.72935720206363,8.86826069421309,8.95851518554585,8.99448605169505,9.12653311094061,9.3339681167144,9.56397498553607,9.85670897252737,10.1623872113371
gasPrice-9,4,4.07512807706634,4.13159638289393,4.18977576859587,4.25826662406412,4.30476925573904,4.42742256172132,4.55938785147762,4.58755207626718,4.67625394298608,4.7728193621759,4.80589810143221,4.85756879593862,4.95351035099466,5.03804696145494,5.0747243515385,5.18874202940931,5.32722577004376,5.43391162160295,5.59511484752814,5.6847554039145,5.76980407039172,5.91850500705065,6.01735582947131,6.12494799900525,6.23844501762886,6.4284872727087,6.6511628769703,6.83620759313585,6.94340313731005,7.10169934274837,7.3133016787382,7.52826284202187,7.6201250597822,7.80724163285097,7.96879816261937,8.14128106783156,8.33210566911863,8.49370187540624,8.54180854489837,8.58020994332743,8.75653544603984,8.95633201876579,9.06649022430151,9.22419985303552,9.39121962632617,9.55743497942639,9.7591839374282,9.85869740608875,9.98898100652058
gasPrice-10,4,4.08906625658899,4.17430066617174,4.21759170883858,4.26984570958288,4.33538076666914,4.39189855661633,4.4667300864226,4.55268058192608,4.67176716787492,4.7994645340494,4.90349955395246,5.02284270976661,5.10197680083571,5.18451647598938,5.30557952132347,5.45482088463986,5.49876817801787,5.62852893528332,5.77273040307542,5.8679413628882,5.94600803551,6.07414437610847,6.21835624156066,6.38131581986592,6.5800557275415,6.7879814216666,6.98360651247938,7.06765488073113,7.23012139344156,7.38479646375449,7.5817570756791,7.59635994064982,7.77749503934854,7.93492439538124,8.05925414929066,8.20428743897541,8.39209787675593,8.40729543687663,8.48304341859553,8.62528733495761,8.89745987459111,9.09612952699659,9.34379815388752,9.53417333568287,9.71686100339877,9.90618758646472,10.0197105534729,10.3615700470939,10.5281972063358
