,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
gasPrice-1,4,3.98553196866397,3.89255859270657,3.78751359629069,3.69078558606688,3.67306574480721,3.61511656249884,3.49629732041133,3.43370443642972,3.38620808163466,3.35456575574902,3.28083630129389,3.19338359020892,3.15302001041484,3.08331156451615,3.06041492554924,3.01023254468039,2.94832979459219,2.88656950268125,2.84036889304403,2.76495947509453,2.6769636710825,2.62759686576353,2.54747586376912,2.46474568741201,2.4327509579503,2.38578032990351,2.32878687573153,2.30591340856769,2.25484545472452,2.18564292327347,2.09970814922165,2.0867223620919,2.02346978242168,1.97648397173113,1.90853916039039,1.88693253001569,1.85047424366201,1.82883419360254,1.77413479177312,1.75749264209983,1.72463375206429,1.69568236972352,1.66527920682103,1.63084901723604,1.62266269027202,1.59409780875361,1.55824688779836,1.51719542505264,1.48381250321306
gasPrice-2,4,3.96866078951041,3.88490451342622,3.77716552984415,3.73730000078061,3.64541149826497,3.52013205932146,3.45018564070667,3.37030451062132,3.29674092744925,3.17215109622068,3.14199104201947,3.06230002043953,2.95962786707365,2.89318956390847,2.81911860288061,2.79864639286249,2.71896993454533,2.66157356638114,2.59819479405674,2.50494669108204,2.43710487887519,2.34440161037978,2.29016404937309,2.2596649415782,2.21446605860342,2.16085658541422,2.12426437932596,2.08840993505403,2.05309518779777,1.99755145273498,1.96724509187168,1.95317007932799,1.91861318461926,1.8649280709812,1.80428831363642,1.76650953107414,1.75751750006637,1.74998480145955,1.73569052863704,1.67074606768719,1.62223346360647,1.58240370367007,1.53890750592958,1.48406539680426,1.45584367342612,1.4262168960934,1.41071320557895,1.37036666607167,1.35973246320749
gasPrice-3,4,3.93593158967835,3.83544156521807,3.81285310138391,3.73253513786339,3.66639193528486,3.60807416765556,3.53273180764601,3.43874840206378,3.37529696489819,3.34106060078145,3.29408926724714,3.25772125305661,3.19452586658814,3.1088569081048,3.07579013471354,2.98785393759133,2.89084958370283,2.84940023619992,2.77912939298596,2.69760360235117,2.6369438330866,2.59790502562967,2.54154792342326,2.51224832941515,2.45776196805228,2.3936744562848,2.33767789931621,2.30631321496769,2.27467773586928,2.22575588454406,2.16190085092694,2.14868232478719,2.10332741091132,2.05956707865127,2.00516723726471,2.0015754320611,1.95607942636082,1.94969687236658,1.90967938771558,1.88567040971402,1.84095491382302,1.81157699630796,1.76677293124834,1.73016227006738,1.69352733771724,1.66409239110095,1.60352150551365,1.56893570793,1.53685423274825
gasPrice-4,4,3.9569380086796,3.86251019719047,3.79118185329052,3.70875949207808,3.62781158701655,3.58743006449361,3.54427915041071,3.5019733349216,3.46060982598627,3.38195383418207,3.30196945947467,3.25285605323425,3.22317886193541,3.16326905751065,3.08407694060729,3.02435897269773,2.93276961454928,2.85547608831713,2.846115995268,2.82269984358126,2.77982374601133,2.69298398114595,2.66319661410109,2.61889572043104,2.56921955727104,2.48230047101589,2.45701217234689,2.3768585580033,2.32737855227351,2.27241971062535,2.22054905784891,2.19286925181323,2.15588359805536,2.11643144909851,2.09959334369378,2.03367330880583,2.01872918990436,1.98233223702595,1.95736297215933,1.91739010629855,1.8838597903724,1.86267091592745,1.81943558893419,1.7931040549818,1.73720506208507,1.70901461564771,1.67061491578239,1.64565038251624,1.61657081237479
gasPrice-5,4,3.87895607285988,3.84479137082691,3.76649845101203,3.69309285335716,3.57766876712683,3.48844642302249,3.44544629423154,3.42324935919503,3.39395381206821,3.32348505914564,3.28605782272053,3.21468078785274,3.17003015050256,3.13392376140422,3.09891880258198,2.98186019151999,2.9377243852432,2.88878461120444,2.86021430350126,2.82504542516662,2.79569571733928,2.72932491988444,2.65034152521354,2.58170095161554,2.53752152136664,2.4731507942191,2.45155465641039,2.42912465891577,2.35368508245084,2.32549359295766,2.28641148131199,2.25883760238187,2.18795692031631,2.13583579814534,2.09507616512921,2.03306817793559,1.96584925337048,1.95105786070285,1.91085624007855,1.85016000921266,1.83410429696258,1.8213029313839,1.77677267424021,1.74298271434727,1.71812549581775,1.6974989540294,1.66271577608575,1.61807713772054,1.5806102478782
gasPrice-6,4,3.88438087783757,3.88296034225469,3.83920741912174,3.73932954408906,3.67772482238565,3.62605813752818,3.5026170981044,3.41205248019509,3.31228719349945,3.25582293651736,3.1706237575474,3.09318173492937,3.05393030316844,2.9700969302982,2.9207503101813,2.82088884876434,2.78673259315997,2.74117743858041,2.7296907641652,2.68276472025398,2.63082747954028,2.57823584864684,2.55021695478411,2.49344641974965,2.4573783857658,2.3873462572107,2.35766355822055,2.32904250268851,2.2775835499965,2.26348874125525,2.21969782293856,2.1695979058673,2.12180655779809,2.09995159324673,2.03796270346135,1.99997422694305,1.93169032691187,1.89416300924528,1.86562422163951,1.83707340128617,1.81316939876497,1.77013085368476,1.73814397541509,1.70539682672651,1.69539642306229,1.6437709149849,1.61233840953064,1.56159276619937,1.52328716921958
gasPrice-7,4,3.84522228153457,3.77659414411201,3.75734461618168,3.6338708531673,3.6136953606509,3.51916952068663,3.4198858568544,3.2918611777773,3.22944749332948,3.15994561408701,3.12159044193099,3.04931462560885,2.95132179886023,2.8641098397509,2.80520583596487,2.74946286413267,2.69281311972805,2.62811720398483,2.5647922405593,2.50255482412644,2.46105964094406,2.43254949057176,2.37473844209125,2.33467814088554,2.30550978562597,2.25032715614401,2.20861228112738,2.14464995090098,2.11795880034416,2.07545298688779,2.03812822652505,2.00052193142055,1.97357634678275,1.93266123915309,1.88924989031694,1.84933419814742,1.80730362310965,1.77257522229676,1.73675956180281,1.70308445960293,1.68884806113894,1.64381417853404,1.60774059741673,1.57238262447136,1.53754800497949,1.52791713061726,1.49974581209125,1.46567396509912,1.43063527670859
gasPrice-8,4,3.87806907851898,3.83421608021228,3.82353140054494,3.77674483332921,3.69296042161352,3.54989935745359,3.47501685020794,3.45559047257539,3.41602187055859,3.30008658905688,3.25695065498258,3.17134714073975,3.11242273967378,3.01968335831231,3.00877693823731,2.90681909747297,2.83441206753175,2.79467427111898,2.73610764178239,2.69921036829396,2.67221727432881,2.60036746076843,2.51937326854803,2.47817358564903,2.42168006266147,2.36333448573182,2.29316269511472,2.23747523757352,2.22043119487584,2.17121136378919,2.14505109522727,2.07765313894428,2.03508871179531,1.99577934073914,1.95828830612177,1.91347135408049,1.87563171227994,1.83898739868452,1.80156051080066,1.76680297322744,1.74713077565354,1.72077411587331,1.68878874249285,1.63506076357259,1.62285943601518,1.59843155537861,1.54245523985353,1.50524796697323,1.47363308485282
gasPrice-9,4,3.94957693990085,3.87675662351039,3.76953714114853,3.66756678543047,3.61156264768599,3.57795881789648,3.51578297333977,3.47801478308509,3.44296310954238,3.39416793841158,3.36038324679156,3.25682761650742,3.20149098433883,3.16398488676129,3.08555136266597,3.02113472923523,2.92673837000196,2.87917606577347,2.82362530791823,2.78169647530504,2.7421833068017,2.67668210919804,2.62197707187943,2.56887526722281,2.51533363506294,2.4665920559481,2.40087098413678,2.37498747545189,2.31443201004201,2.27541445988249,2.21824532045203,2.20578561732472,2.16994148973202,2.12783702545194,2.12057208966734,2.04144394732076,1.9700313022363,1.96328527459892,1.9383246234239,1.88491724002124,1.83139646397506,1.80563499423213,1.74850665402204,1.71291017847443,1.65400393679843,1.60874056204247,1.55159535687075,1.53298199599324,1.49502660172846
gasPrice-10,4,3.90451326685407,3.85435834187403,3.78594463904614,3.71568172137933,3.6939177969407,3.57525695089866,3.45691371933904,3.42056728070078,3.38249863901626,3.29243150616399,3.24177919729972,3.18817697713077,3.14806735905266,3.06039307925287,3.03443338719745,2.96590597209148,2.89685940687666,2.86605128373458,2.82033683840168,2.73831873812775,2.65779945155618,2.5976075873681,2.57015600253376,2.56641488561457,2.5028381828875,2.43350106812067,2.38590850779932,2.3482350661409,2.29387561368898,2.23974682797958,2.20259966886962,2.16637720519047,2.12209690577671,2.06633072141966,2.01714628844957,1.95800693883879,1.937015713053,1.89410363063085,1.85957124323008,1.80642254033604,1.77449202532288,1.71111258321463,1.67502700617942,1.64898917327754,1.61583100186654,1.5989801234262,1.56909747989187,1.52550953139418,1.4967746319806
