,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
biomassPrice-0,4.5,4.533778665,4.556407365,4.466552313,4.359388142,4.482266267,4.605432075,4.609644395,4.537126047,4.729416666,4.910899219,4.84762489,4.90040959,5.000139523,5.037269456,4.913429222,5.10141091,5.264455733,5.417645338,5.431410148,5.432880888,5.39108333,5.50337554,5.592818253,5.548992314,5.661961747,5.584010111,5.811343373,5.7901239,5.741884883,5.963432768,5.965760501,6.070453417,6.187851282,6.070527374,6.335460277,6.540160275,6.728003183,6.922078347,7.084278556,7.107991233,7.234223831,7.437759647,7.464474238,7.653095481,7.477300096,7.279942354,7.4493551,7.565518545,7.768079468
biomassPrice-1,4.5,4.533778665,4.556407365,4.466552313,4.359388142,4.482266267,4.605432075,4.609644395,4.537126047,4.729416666,4.910899219,4.84762489,4.90040959,5.000139523,5.037269456,4.913429222,5.10141091,5.264455733,5.417645338,5.431410148,5.432880888,5.39108333,5.50337554,5.592818253,5.548992314,5.661961747,5.584010111,5.811343373,5.7901239,5.741884883,5.963432768,5.965760501,6.070453417,6.187851282,6.070527374,6.335460277,6.540160275,6.728003183,6.922078347,7.084278556,7.107991233,7.234223831,7.437759647,7.464474238,7.653095481,7.477300096,7.279942354,7.4493551,7.565518545,7.768079468
biomassPrice-2,4.5,4.520785276,4.595531345,4.687680112,4.695570019,4.76917789,4.6762485,4.757679808,4.883011453,4.887190925,5.056333785,5.103609669,5.119759594,5.097996954,5.111566739,5.093088801,5.275002721,5.502380814,5.475305728,5.47624713,5.363025915,5.57364997,5.629996706,5.58476528,5.72787522,5.757829307,6.010714125,6.143072421,6.182910095,6.332471405,6.447791997,6.64004116,6.555989135,6.595365036,6.638356007,6.567007951,6.656512356,6.67213572,6.899958963,6.889896872,6.897962497,7.08806044,7.173509917,7.464141412,7.507431413,7.423070505,7.335316907,7.399753733,7.385370534,7.446635444
biomassPrice-3,4.5,4.568185849,4.754775502,4.720508825,4.834878917,4.856432833,5.046699071,5.158406061,5.33374012,5.408262817,5.401533413,5.321792573,5.310776931,5.355431345,5.396155152,5.412098189,5.661063242,5.5382857,5.586492305,5.691457183,5.838676854,5.758214563,5.95361153,6.022989165,6.27264,6.169202177,6.183076084,6.090813001,6.038174018,6.136223497,6.226866589,6.386514417,6.52680943,6.665114646,6.826805085,7.122027992,7.326819264,7.437784832,7.557876243,7.70295094,7.770264346,7.854664357,7.94208465,7.898110907,7.860049321,7.942112281,7.950085767,8.166719124,8.149703617,8.117203258
biomassPrice-4,4.5,4.399731373,4.370607276,4.381446206,4.483461201,4.571560947,4.549123356,4.623370937,4.579386938,4.703764859,4.736110762,4.760298139,4.794631032,4.946572661,4.893690289,4.903442276,4.944952359,4.890182379,4.88279687,4.978676204,5.018723829,5.128366046,5.152443866,5.222039048,5.274890285,5.326361728,5.370622958,5.372893828,5.491903387,5.510466622,5.580892624,5.682945258,5.832516865,5.726598007,5.846023551,5.859787405,5.837632828,5.816556198,5.755133619,5.871847927,6.034455363,6.15738743,6.139966715,6.017191156,6.131556107,6.259284464,6.559738031,6.788521617,6.888436579,6.925262658
biomassPrice-5,4.5,4.52317687,4.622517311,4.543569897,4.63825005,4.666553381,4.660918747,4.64067233,4.77097006,4.863352371,4.948105569,4.988375396,5.08643894,5.205286809,5.275533212,5.223296804,5.291309033,5.332598339,5.408423525,5.555339471,5.664764995,5.733170691,5.818729332,5.694362456,5.643495149,5.718849103,5.751948177,5.662571647,5.776707255,5.835876452,5.940897052,5.877340529,5.960511721,6.057401862,5.939080895,6.071538597,6.105281463,6.267930247,6.403706997,6.363450281,6.510871255,6.701115716,6.853860304,7.06651668,7.105329809,7.194537445,7.269783671,7.365063835,7.438118717,7.277089473
biomassPrice-6,4.5,4.515742189,4.526153512,4.580150284,4.605321774,4.676074706,4.596931943,4.653859297,4.742515183,4.782439721,4.654857969,4.751946916,4.722176637,4.766771612,4.900485287,4.900097912,5.033903358,5.023562451,5.005483551,4.913509204,4.842952941,4.96218517,5.181320095,5.242422446,5.381374113,5.390625195,5.476977867,5.535984319,5.556960029,5.629589088,5.791638392,5.795170331,6.002649392,6.195431135,6.27640095,6.266875936,6.260166816,6.273407737,6.349931755,6.290855341,6.150996153,6.313124479,6.566056142,6.769338652,6.849083103,7.002632582,7.125011835,7.154649785,7.197678699,7.192912733
biomassPrice-7,4.5,4.530374689,4.558981727,4.627804347,4.796171114,4.92412232,4.952985428,4.847743992,5.03026439,5.053379852,5.106048077,5.208661914,5.168468396,5.191758997,5.320246237,5.398293811,5.467568785,5.620479447,5.537497607,5.729126383,5.803377343,5.937607218,5.915206109,5.964847504,5.965815399,5.97304405,6.057658622,6.124022978,6.292919794,6.235657127,6.19153673,6.267526163,6.217664189,6.46297903,6.417316036,6.422176406,6.373426552,6.33057575,6.520234288,6.689219445,6.714430984,6.715242232,6.610295973,6.809778593,6.885365515,7.093817609,7.303610708,7.342568825,7.358376213,7.487200158
biomassPrice-8,4.5,4.629515254,4.677442418,4.815906622,4.901671988,4.905069698,4.951151068,4.985820489,5.002355179,4.894177228,4.919857412,4.87318583,4.904854613,5.042377508,5.062663724,5.205976445,5.293325337,5.357328571,5.328138093,5.179416243,5.179324357,5.347164621,5.355209756,5.366312909,5.440810794,5.542994047,5.666868134,5.83973408,5.995173301,6.197965565,6.085566028,6.072665429,6.270314308,6.489778389,6.438502035,6.533905382,6.563381934,6.46715739,6.418949135,6.496979695,6.599640185,6.752423515,6.71689664,6.804071291,6.765771484,6.907131225,6.9945519,7.14887025,7.289174076,7.245551699
biomassPrice-9,4.5,4.478876275,4.623321231,4.814674692,4.883188517,4.834513299,4.93128551,4.874167852,4.95047934,4.869146026,4.934331842,4.834322382,4.790100886,4.698414789,4.827348214,4.837274854,4.854107589,4.857532332,4.876558365,4.956429881,5.007081709,5.047068943,4.970089722,5.086157706,5.119664847,5.204313692,5.316894444,5.362461398,5.603167349,5.605348933,5.679270626,5.823156395,6.033270609,5.944848544,6.125623488,6.291045446,6.383279476,6.399006995,6.388174063,6.482963612,6.607639384,6.536196802,6.598421299,6.750078348,6.75651011,6.700547386,6.69061291,6.842082974,6.848960813,6.923540995
